PATH,BEGBAT,ENDBAT,CALLTR,MEDTYP,BAND,MEDCODE,OFFCD,ADVTN,PRODN,INVDAT,ESTCODE,INVNO,BRODMN,ADVTC,PRODC,RUNDAT,TIMEDAY,TYPE,COPYID,RATE,NETWORK,GROBIL,AGYCOM,NETDUE,NETTAX,Comment,Rejected,ICOST,PayeeName,Address1,Address2,Verified,Image_Name,SEQNO
,,,,,,,,,,,,,,,,200227,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200227,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200228,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200228,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200229,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200229,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200229,,00,,300000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200307,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200307,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200321,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200321,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200326,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200326,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200326,0643AM,30,GWMR0090000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200326,0743AM,30,GWMR0090000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200326,0210PM,30,GWMR0090000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200326,0343PM,30,GWMR0090000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200327,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200327,,15,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200327,0610AM,30,GWMR0090000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200327,0843AM,30,GWMR0090000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200327,0143PM,30,GWMR0090000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200327,0643PM,30,GWMR0090000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200328,,30,,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200328,,15,,000,,,,,,,,,,,,,,
