PATH,BEGBAT,ENDBAT,CALLTR,MEDTYP,BAND,MEDCODE,OFFCD,ADVTN,PRODN,INVDAT,ESTCODE,INVNO,BRODMN,ADVTC,PRODC,RUNDAT,TIMEDAY,TYPE,COPYID,RATE,NETWORK,GROBIL,AGYCOM,NETDUE,NETTAX,Comment,Rejected,ICOST,PayeeName,Address1,Address2,Verified,Image_Name,SEQNO
,,,,,,,,,,,,,,,,200302,0621AM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0724AM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0824AM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0929AM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0325PM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0412PM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0533PM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0624PM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0639AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0658AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0747AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0843AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0343PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0412PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0535PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0623PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0721AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0839AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0852AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0946AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0325PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0430PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0533PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0650PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0638AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0722AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0759AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0946AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0323PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0430PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0557PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0650PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0700AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0822AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0859AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0944AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0347PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0430PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0558PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0648PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0622AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0655AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0745AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0819AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0342PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0428PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0536PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0624PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0653PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0721AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0839AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0856AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0925AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0347PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0416PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0531PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0639AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0740AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0755AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0945AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0323PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0429PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0534PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0626PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0656AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0824AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0854AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0930AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0318PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0430PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0558PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0648PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0640AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0723AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0757AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0946AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0321PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0412PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0555PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0648PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0615AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0655AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0340PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0534PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0848AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0431PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0624PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,0855AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,0653PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0929AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0952AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0323PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0554PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,0615AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,0800AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,0345PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0324PM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0426PM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0626PM,30,GWATDS4R600,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0723AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0757AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0844AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0942AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0351PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0426PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0532PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0553PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200303,0630PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0621AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0759AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0858AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0926AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0344PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0411PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0554PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200304,0643PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0624AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0654AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0821AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0924AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0326PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0429PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0535PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200305,0648PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0721AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0857AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0327PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0408PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200306,0626PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0659AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0741AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0843AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0946AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0343PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0427PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0533PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0630PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0624AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0756AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0857AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0941AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0326PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0413PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0552PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0648PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0700AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0744AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0825AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0928AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0347PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0433PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0533PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0625PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0639AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0721AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0844AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0928AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0329PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0412PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0553PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0644PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0657AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0739AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0820AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0855AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0327PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0425PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0627PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0627AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0945AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0411PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0650PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0754AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0345PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0537PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,0643AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,0330PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0740AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0928AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0535PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0626PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,0724AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,0926AM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,0553PM,30,GWATDS4R700,2300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0658AM,30,GWATDS4R600,1000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0722AM,30,GWATDS4R600,1000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0844AM,30,GWATDS4R600,1000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200302,0951AM,30,GWATDS4R600,1000,,,,,,,,,,,,,,
