PATH,BEGBAT,ENDBAT,CALLTR,MEDTYP,BAND,MEDCODE,OFFCD,ADVTN,PRODN,INVDAT,ESTCODE,INVNO,BRODMN,ADVTC,PRODC,RUNDAT,TIMEDAY,TYPE,COPYID,RATE,NETWORK,GROBIL,AGYCOM,NETDUE,NETTAX,Comment,Rejected,ICOST,PayeeName,Address1,Address2,Verified,Image_Name,SEQNO
,,,,,,,,,,,,,,,,200217,00650M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,00708M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,00755M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,01150M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,01315M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,01450M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,01525M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,01542M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,01608M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,02150M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,00615M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,00650M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,00830M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,01015M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,01250M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,01430M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,01525M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,01642M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,01850M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,02050M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,00755M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,00815M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,00850M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,01130M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,01215M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,01430M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,01608M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,01730M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,01850M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,02150M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,00615M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,00742M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,00915M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,01230M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,01315M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,01830M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,01850M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,02030M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200220,02050M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200221,00615M,60,GWATYU5R400, 2200,,,,,,,,,,,,,,
