PATH,BEGBAT,ENDBAT,CALLTR,MEDTYP,BAND,MEDCODE,OFFCD,ADVTN,PRODN,INVDAT,ESTCODE,INVNO,BRODMN,ADVTC,PRODC,RUNDAT,TIMEDAY,TYPE,COPYID,RATE,NETWORK,GROBIL,AGYCOM,NETDUE,NETTAX,Comment,Rejected,ICOST,PayeeName,Address1,Address2,Verified,Image_Name,SEQNO
,,,,,,,,,,,,,,,,200309,0744AM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0929PM,30,TYES0920000,1600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0757AM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0126PM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0327PM,30,TYES0920000,6000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0824PM,30,TYES0920000,1600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0953AM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0346PM,30,TYES0920000,6000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,1123AM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,0532AM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,0556AM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,1022AM,30,TYES0920000,2600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,1246PM,30,TYES0920000,2600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,0426PM,30,TYES0920000,2600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,0446PM,30,TYES0920000,2600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,0824PM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,1122PM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200315,1029PM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200315,1044PM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0240PM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0325PM,30,TYES0920000,6000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0842AM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,0522AM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,0927PM,30,TYES0920000,1600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0616AM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0932AM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,1117AM,30,TYES0920000,6500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,1150PM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200323,0524AM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200323,0544AM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200323,0741AM,30,TYES0920000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200323,0818AM,30,TYES0920000,6500,,,,,,,,,,,,,,
