PATH,BEGBAT,ENDBAT,CALLTR,MEDTYP,BAND,MEDCODE,OFFCD,ADVTN,PRODN,INVDAT,ESTCODE,INVNO,BRODMN,ADVTC,PRODC,RUNDAT,TIMEDAY,TYPE,COPYID,RATE,NETWORK,GROBIL,AGYCOM,NETDUE,NETTAX,Comment,Rejected,ICOST,PayeeName,Address1,Address2,Verified,Image_Name,SEQNO
,,,,,,,,,,,,,,,,200130,0742PM,30,TZASLB00040H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0902PM,30,TZASLB00040H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0934PM,30,TZASLB00050H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200127,1014AM,30,TZASLB00040H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200127,0646PM,30,TZASLB00050H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200127,1232AM,30,TZASLB00032H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,0321PM,30,TZASLB00050H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,0619PM,30,TZASLB00040H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,1022PM,30,TZASLB00040H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,1248PM,30,TZASLB00050H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0616PM,30,TZASLB00032H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0100AM,30,TZASLB00040H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,1034AM,30,TZASLB00050H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0140PM,30,TZASLB00032H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0233AM,30,TZASLB00032H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200131,0223PM,30,TZASLB00040H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200131,0519PM,30,TZASLB00050H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200131,0138AM,30,TZASLB00032H,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0815 PM,TYXB4318,:06,TI,,,,,,,,,,,,,,
