PATH,BEGBAT,ENDBAT,CALLTR,MEDTYP,BAND,MEDCODE,OFFCD,ADVTN,PRODN,INVDAT,ESTCODE,INVNO,BRODMN,ADVTC,PRODC,RUNDAT,TIMEDAY,TYPE,COPYID,RATE,NETWORK,GROBIL,AGYCOM,NETDUE,NETTAX,Comment,Rejected,ICOST,PayeeName,Address1,Address2,Verified,Image_Name,SEQNO
,,,,,,,,,,,,,,,,200127,1041AM,60,GWATOD2RE00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200127,0851PM,60,GWATOD2RD00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200127,1138PM,60,GWATOD2RE00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,1122AM,60,GWATOD2RD00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,1201PM,60,GWATOD2RE00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,0520PM,60,GWATOD2RD00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0621AM,60,GWATOD2RE00,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0852AM,60,GWATOD2RD00,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0954AM,60,GWATOD2RE00,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0341PM,60,GWATOD2RD00,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0457PM,60,GWATOD2RE00,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0555PM,60,GWATOD2RD00,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0939PM,60,GWATOD2RE00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,1036PM,60,GWATOD2RD00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0701AM,60,GWATOD2RE00,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0838AM,60,GWATOD2RD00,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0940AM,60,GWATOD2RE00,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0155PM,60,GWATOD2RD00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0438PM,60,GWATOD2RE00,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0522PM,60,GWATOD2RD00,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0652PM,60,GWATOD2RE00,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0739PM,60,GWATOD2RD00,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0548AM,60,OD2045415,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0641AM,60,HS204598,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0720AM,60,OD2045415,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0801AM,60,HS204598,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0854AM,60,OD2045415,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0920AM,60,HS204598,1800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0300PM,60,OD2045415,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0339PM,60,HS204598,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0404PM,60,OD2045415,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0441PM,60,HS204598,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0502PM,60,OD2045415,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0541PM,60,HS204598,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0700PM,60,OD2045415,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0803PM,60,HS204598,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,1004PM,60,OD2045415,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,1141PM,60,HS204598,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200215,0727PM,60,OD2045415,000,,,,,,,,,,,,,,
