PATH,BEGBAT,ENDBAT,CALLTR,MEDTYP,BAND,MEDCODE,OFFCD,ADVTN,PRODN,INVDAT,ESTCODE,INVNO,BRODMN,ADVTC,PRODC,RUNDAT,TIMEDAY,TYPE,COPYID,RATE,NETWORK,GROBIL,AGYCOM,NETDUE,NETTAX,Comment,Rejected,ICOST,PayeeName,Address1,Address2,Verified,Image_Name,SEQNO
,,,,,,,,,,,,,,,,200127,1042AM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200127,0740PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200127,0927PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,0144PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,0323PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,0721PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,0956PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200128,1029PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0612AM,60,GWMR0389000,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0641AM,60,GWMR0389000,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0826AM,60,GWMR0389000,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0338PM,60,GWMR0389000,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0443PM,60,GWMR0389000,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,0522PM,60,GWMR0389000,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200129,1057PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0800AM,60,GWMR0389000,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0841AM,60,GWMR0389000,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0924AM,60,GWMR0389000,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0341PM,60,GWMR0389000,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0421PM,60,GWMR0389000,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0553PM,60,GWMR0389000,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200130,0813PM,60,GWMR0389000,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0642AM,60,HS2045298,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0716AM,60,OD2045415,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0748AM,60,HS2045298,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0845AM,60,OD2045415,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0911AM,60,HS2045298,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0931AM,60,OD2045415,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0336PM,60,HS2045298,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0352PM,60,OD2045415,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0434PM,60,HS2045298,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0450PM,60,OD2045415,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0529PM,60,HS2045298,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200214,0548PM,60,OD2045415,3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200215,0648AM,60,HS2045298,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200216,0830AM,60,OD2045415,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200216,1146AM,60,HS2045298,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200216,0132PM,60,OD2045415,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200216,0333PM,60,HS2045298,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200216,0436PM,60,OD2045415,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200216,0535PM,60,HS2045298,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200216,0657PM,60,OD2045415,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200217,0829PM,60,HS2045298,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200218,1229PM,60,OD2045415,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,0958AM,60,HS2045298,4000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200219,1143AM,60,OD2045415,000,,,,,,,,,,,,,,
